text	user_id	news_id	cluster
He is GHWBushes Cousine and also part of the dark side of Hollywood	939004379062984705	politifact15429	1
Like we care about your opinion. The life choices you've made doesn't endear confidence in your ability to PROBLEM solve or think clearly beyond your boxes (Yes, boxes!)	789626171822641153	politifact15429	2
Donnie will find out from Hannity tonight.	861291478911508480	politifact15401	0
Melania Trump is the first first lady to undergo such a serious medical procedure while in the White House since Nancy Reagan had a mastectomy in October 1987	18939358	politifact15401	1
Obvious irony given Trump organization regularly rails against claim that US govt giving free medical care to immigrants.	433810987	politifact15401	0
but it's not fun. (speaking from experience.)	905218254	politifact15401	2
What type of surgery and the associated disease?  Aren't we entitled to more information?	22988764	politifact15401	0
Here's the White House statement on FLOTUS's procedure	18939358	politifact15401	2
Melania Trump is expected to remain hospitalized for several days, and her husband remained in the White House during the procedure	18939358	politifact15401	2
Who will be monitoring her successful bullying campaign??	22804041	politifact15401	0
....oh my, however will the children of America survive while she is in hospital???	2880384455	politifact15401	0
BeBest	20665235	politifact15401	2
"Sounds like she had a Lithotripsy(sp?) (ie. using sonic vibration to blast kidney stones apart).Hardly a  ""Serious condition"""	905218254	politifact15401	0
'Lithotripsy' could be Lithography's, Lithograph's, Lithographs, Deathtrap's, Deathtraps or Littoral's.	38113411	politifact15401	0
I'm referring to a medical procedure, not art work or deathtraps. Lol	905218254	politifact15401	0
"""Trump remained at the White House during her surgery."" 
What kind of husband does not go to the hospital with his wife?"	357948884	politifact15401	2
"Really?
They definitely have a for show marriage. And it's not even a good one."	357948884	politifact15401	2
The same guy who, according to his first wife, beat and raped her because his recent hair transplant procedure was causing him grief (she had to redact the story because it violated their divorce agreement).	787141837286875137	politifact15401	0
Everyone gives Melania grief for staying married but as a person who suffered emotional spousal abuse I see it in her.	357948884	politifact15401	2
I feel for her	357948884	politifact15401	1
Is it from some disease Trump gave her after one of his escapades?	15823471	politifact15401	2
Hepatitis?	14606523	politifact15401	0
"Waiting for the CNN chyron blaming this on pulling out of the Iran deal

#CNNCredibilityCrisis"	2730969312	politifact15401	2
Not looking forward to the outpouring of hate from the Left.	2370421626	politifact15401	2
Left here, wishing her well. Hope she recovers quickly.	116099326	politifact15401	2
Woah!	175584371	politifact15401	2
OK... good to see that the first lady is recovering, from a successful surgery.  Whew.	175584371	politifact15401	0
Hmmmmm...	965779909892345856	politifact15401	0
Be Best.	21585124	politifact15401	0
We have an idiot...	884928200735825920	politifact15401	0
Kidney tumor embolization is a standard preoperative procedure for therapy.   Preoperative embolization has a goal to reduce intraoperative bleeding and also to shorten the time of surgery.  So is this the first procedure before removal of the tumor?	1354539542	politifact15401	0
In a statement, doctors said they were hopeful that they could remove the entire 239 pound tumor.	2627515864	politifact15401	2
Who cares?	27065736	politifact15401	2
Sending prayers and healing light!	42703989	politifact15401	2
Billionaire to receive government-funded medical treatment	92087576	politifact15401	0
TRUMP IS A LYING PIG	884928200735825920	politifact15401	1
PIG PEN.	884928200735825920	politifact15401	0
Hopefully she gets the same treatment as the other vets are getting there	259850798	politifact15401	2
Be Best!	21585124	politifact15401	2
"#BeBest
Thoughts and prayers"	719243145263869952	politifact15401	2
Trump is the first US first lady to undergo such a serious medical procedure while in the White House since Nancy Reagan had a mastectomy in October 1987	13850422	politifact15401	1
BOOM	823528762117537792	politifact15401	1
Jesus hope it all goes well.	2369728667	politifact15401	0
under his eye	618192880	politifact15401	1
I don't blame her. Anything to get out of the White House for a few days.	443412612	politifact15401	2
Get well soon!	806329352933752832	politifact15401	2
Having to watch my mother go through kidney surgery, I wish the best for the First Lady, and that she recovers quickly.	774448309838581760	politifact15401	2
Is this why her husband spent Mother's Day with her?  Did they go to church, since they are such fine upstanding Christians?  Oh that's right- they are the opposite of Christians, and he spent the day on the golf course.  Without his kid, of course.	825844261601976320	politifact15401	2
And Trump was at the WH stuffing his fat face with cheeseburgers, fries, pizza, KFC and WHO knows what else.	286680780	politifact15401	2
I hope your recovery is speedy Mrs Trump!	28703474	politifact15401	2
